PQ,K,Quantization_time,Total_time
1, 100,  107.732178, 15536.610107
1, 100,  64.663086, 15566.457031
1, 100,  63.584961, 15616.587891
1, 100,  52.858887, 15619.639893
1, 100,  66.175049, 15767.756104
1, 100,  41.023926, 15797.930908
1, 100,  39.375977, 16037.354980
1, 100,  96.164062, 16102.618164
1, 100,  35.554932, 16165.094971
1, 100,  57.448975, 16189.738037
1, 100,  88.498047, 16190.800049
1, 100,  92.430908, 16245.200928
1, 100,  99.711914, 16263.378906
1, 100,  60.802979, 16286.484131
1, 100,  86.255127, 16392.746094
1, 100,  55.679932, 16406.575928
1, 100,  35.606934, 16405.185059
1, 100,  101.157959, 16452.336914
1, 100,  39.464844, 16459.632812
1, 100,  69.745850, 16541.441895
1, 100,  91.636963, 16630.567139
1, 100,  148.796143, 16682.266113
1, 100,  64.000977, 16767.195068
1, 100,  104.513916, 16915.273926
1, 100,  34.686035, 16991.779053
1, 100,  57.256104, 17022.695068
1, 100,  53.529053, 17040.449951
1, 100,  45.082031, 17111.273193
1, 100,  55.068848, 17203.361816
1, 100,  97.946045, 17244.269043
1, 100,  74.377197, 17290.648193
1, 100,  72.290039, 17325.535889
1, 100,  92.941162, 17343.341064
1, 100,  132.102051, 17374.426025
1, 100,  40.052002, 17378.629883
1, 100,  75.746094, 17384.303955
1, 100,  45.590820, 17385.986816
1, 100,  99.436035, 17498.090088
1, 100,  37.412109, 17525.213135
1, 100,  53.881104, 17540.276123
1, 100,  132.630859, 17549.543945
1, 100,  35.406006, 17565.227051
1, 100,  69.992920, 17568.073975
1, 100,  41.084961, 17630.152832
1, 100,  66.613037, 17631.412842
1, 100,  41.253906, 17666.125000
1, 100,  38.740967, 17672.107910
1, 100,  101.037109, 17679.747070
1, 100,  70.885010, 17787.388916
1, 100,  58.980957, 17809.357910
1, 100,  137.461914, 17805.954834
1, 100,  89.345947, 17892.991943
1, 100,  68.541992, 17905.205078
1, 100,  50.747803, 17932.804932
1, 100,  98.285889, 17976.837891
1, 100,  60.553955, 18004.610840
1, 100,  111.888916, 17997.495850
1, 100,  69.411133, 18002.528076
1, 100,  38.255859, 18053.206055
1, 100,  121.257080, 18053.895020
1, 100,  60.883057, 18069.758057
1, 100,  93.761963, 18069.278809
1, 100,  57.939941, 18087.039062
1, 100,  72.053223, 18103.390137
1, 100,  53.856934, 18104.873047
1, 100,  38.801025, 18119.418945
